source_path,target_repo,template_file,owner,due_date,priority,brand_rules_required,redaction_required,status,notes
Aneumind and TC Structure/Archive/Aneumind Academy Pkgs.pdf,Momentum-OS,pricing-packaging-template.md,GTM Owner,2026-04-29,P1,yes,yes,todo,convert to package/pricing template with tokenized brand terms
Aneumind and TC Structure/Archive/Flagship Pricing Packages.pdf,Momentum-OS,pricing-packaging-template.md,GTM Owner,2026-04-30,P1,yes,yes,todo,pricing structure reusable after brand and numbers sanitization
Aneumind and TC Structure/Archive/Performance Pricing Packages - final (1).pdf,Momentum-OS,pricing-packaging-template.md,GTM Owner,2026-05-01,P1,yes,yes,todo,pricing framework extraction candidate
Aneumind and TC Structure/Archive/Aneumind Investor Book - V1.pdf,Momentum-OS,investor-readiness-narrative-template.md,GTM Owner,2026-05-02,P1,yes,yes,todo,convert to investor readiness narrative template
Aneumind and TC Structure/Archive/Aneumind™ Investor Book 9.5.2025.pdf,Momentum-OS,investor-readiness-narrative-template.md,GTM Owner,2026-05-03,P1,yes,yes,todo,latest variant for narrative structure only
Aneumind and TC Structure/Archive/SOP_ Client Intake Process.docx,Momentum-OS,ops-sop-template.md,GTM Owner,2026-05-04,P1,no,yes,todo,source for ops-sop-template
Aneumind and TC Structure/Archive/SOP_ Daily Room Management.docx,Momentum-OS,ops-sop-template.md,GTM Owner,2026-05-05,P1,no,yes,todo,source for ops-sop-template
Aneumind and TC Structure/Archive/SOP_ Billing w partner therapists.docx,PAH,ops-sop-template.md,Compliance Owner,2026-05-06,P1,no,yes,todo,source for provider billing SOP template
Aneumind and TC Structure/Archive/New Client Email Sequence.docx,Momentum-OS,gtm-operations-template.md,GTM Owner,2026-05-07,P1,yes,yes,todo,source for GTM nurture workflow template
Aneumind and TC Structure/Archive/Partner Flyers - Peak Performance (1).pdf,Momentum-OS,gtm-operations-template.md,GTM Owner,2026-05-08,P1,yes,yes,todo,extract section order and CTA hierarchy only
Aneumind and TC Structure/Archive/Medicaid Provider Resources (1).pdf,PAH,compliance-readiness-scorecard-template.md,Compliance Owner,2026-05-09,P1,no,yes,todo,extract public process requirements only
Aneumind and TC Structure/Archive/07_Aneumind_Authority_Reconciliation_Status.md.docx,Project Manager,authority-reconciliation-status-template.md,PM Governance Owner,2026-05-10,P1,no,yes,todo,extract authority reconciliation template only
