path,holdback_reason,sensitivity,proposed_action,notes
"MJS Financial Dash backup 20260310_153810/token.json","Live OAuth access and refresh tokens","private-only","Do not copy, stage, or commit","Secret material should remain outside the merge set."
"MJS Financial Dash backup 20260310_153810/credentials.json","OAuth client secret material","private-only","Do not copy into active paths","A backup copy already exists in primary under a restricted archive location."
"MJS Financial Dash backup 20260310_153810/.DS_Store","macOS system artifact","private-only","Exclude","System noise with no preservation value."
"MJS Financial Dash backup 20260310_153810/.pycache_local/","Cache artifact directory","private-only","Exclude","Runtime noise with no preservation value."
"MJS Financial Dash backup 20260310_153810/outputs.zip","Generated binary export","private-only","Exclude unless separately approved","Older generated bundle; primary already has a stale outputs archive copy."
"MJS Financial Dash backup 20260310_153810/outputs/2026_obligations.csv","Older conflicting generated output","private-only","Retain primary version only","Backup content already preserved under reorganized primary ledger paths."
"MJS Financial Dash backup 20260310_153810/outputs/debt_registry.csv","Older conflicting generated output","private-only","Retain primary version only","Backup content already preserved under reorganized primary ledger paths."
"MJS Financial Dash backup 20260310_153810/outputs/financial_timeline.csv","Older conflicting generated output","private-only","Retain primary version only","Backup content already preserved under reorganized primary ledger paths."
"MJS Financial Dash backup 20260310_153810/outputs/master_bill_registry.csv","Older conflicting generated output","private-only","Retain primary version only","Backup content already preserved under reorganized primary ledger paths."
"MJS Financial Dash backup 20260310_153810/outputs/normalized_records.csv","Older conflicting generated output","private-only","Retain primary version only","Backup content already preserved under reorganized primary extracted-table paths."
"MJS Financial Dash backup 20260310_153810/outputs/report.md","Older conflicting generated report","private-only","Retain primary version only","Backup content already preserved under reorganized primary archive report paths."
"MJS Financial Dash backup 20260310_153810/README.md","Superseded repo framing","private-only","Retain primary version only","Backup README content is already preserved under an archive guide path."
"MJS Financial Dash backup 20260310_153810/pyproject.toml","Superseded packaging state","private-only","Retain primary version only","Git ancestry already preserves this older state."
