path,category,risk_level,decision,target_repo,template_candidate,redaction_required,pm_use_case,notes
Aneumind and TC Structure/Archive/Aneumind Flyer for Schools.pdf,gtm,low,PUSH,Project Manager,no,yes,onboarding|governance,brand-derived collateral; apply brand template rules before reuse
Aneumind and TC Structure/Archive/Clinical Care Flyer.pdf,gtm,low,PUSH,Project Manager,no,yes,onboarding|governance,brand-derived collateral; apply brand template rules before reuse
Aneumind and TC Structure/Archive/Elevate Clinical Care.pdf,gtm,low,PUSH,Project Manager,no,yes,onboarding|governance,brand-derived collateral; apply brand template rules before reuse
Aneumind and TC Structure/Archive/Enhance Clinical Precision.pdf,gtm,low,PUSH,Project Manager,no,yes,onboarding|governance,brand-derived collateral; apply brand template rules before reuse
Aneumind and TC Structure/Archive/Support Growth.pdf,gtm,low,PUSH,Project Manager,no,yes,onboarding|governance,brand-derived collateral; apply brand template rules before reuse
Aneumind and TC Structure/Archive/Unlock Peak Performance.pdf,gtm,low,PUSH,Project Manager,no,yes,onboarding|governance,brand-derived collateral; apply brand template rules before reuse
Aneumind and TC Structure/Archive/Aneumind Academy Pkgs.pdf,gtm,medium,TEMPLATE-CANDIDATE,Momentum-OS,yes,yes,readiness|gates,convert to package/pricing template with tokenized brand terms
Aneumind and TC Structure/Archive/Flagship Pricing Packages.pdf,gtm,medium,TEMPLATE-CANDIDATE,Momentum-OS,yes,yes,readiness|gates,pricing structure reusable after brand and numbers sanitization
Aneumind and TC Structure/Archive/Performance Pricing Packages - final (1).pdf,gtm,medium,TEMPLATE-CANDIDATE,Momentum-OS,yes,yes,readiness|gates,pricing framework extraction candidate
Aneumind and TC Structure/Archive/Aneumind Investor Book - V1.pdf,gtm,medium,TEMPLATE-CANDIDATE,Momentum-OS,yes,yes,governance|readiness,convert to investor readiness narrative template
Aneumind and TC Structure/Archive/Aneumind™ Investor Book 9.5.2025.pdf,gtm,medium,TEMPLATE-CANDIDATE,Momentum-OS,yes,yes,governance|readiness,latest variant for narrative structure only
Aneumind and TC Structure/Archive/Aneumind Logo 500x500.png,gtm,low,PUSH,Project Manager,no,no,onboarding,store as reference only; do not embed in generic template pack
Aneumind and TC Structure/Archive/Aneumind™ Logo.png,gtm,low,PUSH,Project Manager,no,no,onboarding,store as reference only; do not embed in generic template pack
Aneumind and TC Structure/Archive/White Aneumind™ Logo.png,gtm,low,PUSH,Project Manager,no,no,onboarding,store as reference only; do not embed in generic template pack
Aneumind and TC Structure/Archive/SOP_ Client Intake Process.docx,operational,medium,TEMPLATE-CANDIDATE,Momentum-OS,yes,yes,onboarding|gates,source for ops-sop-template
Aneumind and TC Structure/Archive/SOP_ Daily Room Management.docx,operational,medium,TEMPLATE-CANDIDATE,Momentum-OS,yes,yes,onboarding|gates,source for ops-sop-template
Aneumind and TC Structure/Archive/SOP_ Billing w partner therapists.docx,operational,medium,TEMPLATE-CANDIDATE,PAH,yes,yes,readiness|gates,source for provider billing SOP template
Aneumind and TC Structure/Archive/New Client Email Sequence.docx,gtm,medium,TEMPLATE-CANDIDATE,Momentum-OS,yes,yes,onboarding|readiness,source for GTM nurture workflow template
Aneumind and TC Structure/Archive/Partner Flyers - Peak Performance (1).pdf,gtm,medium,TEMPLATE-CANDIDATE,Momentum-OS,yes,yes,onboarding|governance,extract section order and CTA hierarchy only
Aneumind and TC Structure/Archive/PPA_CO_TXIX_Medicaid.pdf,compliance,high,LOCAL-ONLY,Archiavellian,no,no,readiness|gates,raw agreement restricted; derive sanitized compliance checklist for PAH
Aneumind and TC Structure/Archive/Medicaid Provider Resources (1).pdf,compliance,medium,TEMPLATE-CANDIDATE,PAH,yes,yes,readiness|gates,extract public process requirements only
Aneumind and TC Structure/Archive/Attestation_Report_PDM_332318603_2025-08-22_0500.pdf,compliance,high,LOCAL-ONLY,Archiavellian,no,no,readiness|gates,contains provider identifiers; use only to derive sanitized attestation checklist
Aneumind and TC Structure/Archive/Attestation_Report_PDM_332318603_2025-08-23_1129.pdf,compliance,high,LOCAL-ONLY,Archiavellian,no,no,readiness|gates,contains provider identifiers; use only to derive sanitized attestation checklist
Aneumind and TC Structure/Archive/Disclosures and Informed Consent for Aneumind Services.pdf,client-data,high,LOCAL-ONLY,Archiavellian,no,no,readiness|gates,consent/signature data; no raw push
